Location,Movie Name,Timing,Is Premium,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied,Total Seats,Occupancy Rate
JEM,Ne-Zha-2-PG13,2025-03-25T10:50:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202973,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,10,116,14,18,0,0,0,0,24,134,158,0.15
Causeway Point,Ne-Zha-2-PG13,2025-03-25T11:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154995,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,1,125,4,50,0,2,0,0,5,177,182,0.03
JEM,Close-Ur-Kopitiam-PG13,2025-03-25T11:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202974,"Drama, Comedy",Mandarin,"PG13, Some Sexual References",106 mins,27 Feb 2025,3,123,0,32,0,0,0,0,3,155,158,0.02
Causeway Point,You-Are-The-Apple-Of-My-Eye-PG13,2025-03-25T11:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154990,"Drama, Romance",Korean,"PG13, Some Sexual References and Coarse Language",102 mins,20 Mar 2025,5,197,2,40,0,2,0,0,7,239,246,0.03
Causeway Point,Dog-Man-PG,2025-03-25T11:20:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/155003,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,0,130,0,28,0,0,0,0,0,158,158,0.0
JEM,Ne-Zha-2-PG13,2025-03-25T11:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202759,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,5,169,8,28,0,1,0,0,13,198,211,0.06
Causeway Point,Ne-Zha-2-PG13,2025-03-25T11:40:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154999,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,1,143,2,42,0,2,0,0,3,187,190,0.02
Causeway Point,Novocaine-NC16,2025-03-25T12:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/155010,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,0,129,2,28,0,0,0,0,2,157,159,0.01
JEM,Dog-Man-PG,2025-03-25T12:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202616,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,4,122,0,32,0,0,0,0,4,154,158,0.03
JEM,Ne-Zha-2-PG13,2025-03-25T12:10:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202544,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,1,173,2,34,0,1,0,0,3,208,211,0.01
Causeway Point,Ne-Zha-2-PG13,2025-03-25T12:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/155007,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,1,143,2,42,0,0,0,0,3,185,188,0.02
JEM,Novocaine-NC16,2025-03-25T12:20:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202665,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,1,83,4,20,0,0,0,0,5,103,108,0.05
Causeway Point,You-Are-The-Apple-Of-My-Eye-PG13,2025-03-25T12:20:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154992,"Drama, Romance",Korean,"PG13, Some Sexual References and Coarse Language",102 mins,20 Mar 2025,0,126,2,52,0,2,0,0,2,180,182,0.01
Clementi 321,Ne-Zha-2-PG13,2025-03-25T12:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6964,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,6,68,6,14,0,2,0,0,12,84,96,0.12
Clementi 321,A-Looney-Tunes-Movie-PG,2025-03-25T12:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6946,Animation,English with no subtitle,PG,91 mins,13 Mar 2025,0,48,0,12,0,2,0,0,0,62,62,0.0
Clementi 321,You-Are-The-Apple-Of-My-Eye-PG13,2025-03-25T12:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6967,"Drama, Romance",Korean,"PG13, Some Sexual References and Coarse Language",102 mins,20 Mar 2025,2,46,0,12,0,2,0,0,2,60,62,0.03
Clementi 321,Novocaine-NC16,2025-03-25T12:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6957,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,3,59,0,20,0,2,0,0,3,81,84,0.04
Century Square,Ne-Zha-2-PG13,2025-03-25T13:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13748,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,5,95,0,10,0,2,0,4,5,111,116,0.04
Downtown East,Ne-Zha-2-PG13,2025-03-25T13:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118529,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,136,2,40,0,2,0,0,2,178,180,0.01
JEM,Ne-Zha-2-PG13,2025-03-25T13:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202571,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,6,168,6,30,0,1,0,0,12,199,211,0.06
Century Square,Novocaine-NC16,2025-03-25T13:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13735,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,4,94,0,4,0,2,0,4,4,104,108,0.04
Clementi 321,Dog-Man-PG,2025-03-25T13:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6953,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,0,48,0,12,0,2,0,0,0,62,62,0.0
Century Square,Creation-of-the-Gods-II-Demon-Force-PG13,2025-03-25T13:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13741,"Fantasy, Action, War",Mandarin,"PG13, Some Violence",145 mins,29 Jan 2025,13,85,0,4,0,2,0,4,13,95,108,0.12
Causeway Point,Ne-Zha-2-PG13,2025-03-25T13:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154987,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,7,195,2,40,0,2,0,0,9,237,246,0.04
Clementi 321,Ne-Zha-2-PG13,2025-03-25T13:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6950,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,2,60,4,16,0,2,0,0,6,78,84,0.07
Downtown East,Presence-M18,2025-03-25T13:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118532,"Horror, Thriller",English,"M18, Sexual Scene and Coarse Language",85 mins,20 Mar 2025,0,124,0,44,0,2,0,0,0,170,170,0.0
Century Square,Ne-Zha-2-PG13,2025-03-25T13:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13743,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,4,96,4,6,0,2,0,4,8,108,116,0.07
Clementi 321,Ne-Zha-2-PG13,2025-03-25T13:30:00,True,https://www.cathaycineplexes.com.sg/ticketing/1114/6623,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,24,0,0,0,0,0,0,0,24,24,0.0
JEM,Ne-Zha-2-PG13,2025-03-25T13:30:00,True,https://www.cathaycineplexes.com.sg/ticketing/1110/202504,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,2,2,19,0,0,0,0,2,21,23,0.09
Downtown East,Novocaine-NC16,2025-03-25T13:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118519,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,1,67,0,40,0,1,0,0,1,108,109,0.01
JEM,You-Are-The-Apple-Of-My-Eye-PG13,2025-03-25T13:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202645,"Drama, Romance",Korean,"PG13, Some Sexual References and Coarse Language",102 mins,20 Mar 2025,8,118,4,28,0,0,0,0,12,146,158,0.08
Causeway Point,Creation-of-the-Gods-II-Demon-Force-PG13,2025-03-25T13:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/155004,"Fantasy, Action, War",Mandarin,"PG13, Some Violence",145 mins,29 Jan 2025,2,128,4,24,0,0,0,0,6,152,158,0.04
Downtown East,Creation-of-the-Gods-II-Demon-Force-PG13,2025-03-25T13:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118526,"Fantasy, Action, War",Mandarin,"PG13, Some Violence",145 mins,29 Jan 2025,1,95,0,40,0,1,0,0,1,136,137,0.01
Downtown East,Ne-Zha-2-PG13,2025-03-25T13:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118564,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,8,168,2,48,0,2,0,0,10,218,228,0.04
JEM,Ne-Zha-2-PG13,2025-03-25T13:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202763,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,15,203,8,56,0,1,0,0,23,260,283,0.08
Clementi 321,Mickey-17-M18,2025-03-25T13:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6961,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,3,45,5,7,0,2,0,0,8,54,62,0.13
Clementi 321,You-Are-The-Apple-Of-My-Eye-PG13,2025-03-25T13:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6996,"Drama, Romance",Korean,"PG13, Some Sexual References and Coarse Language",102 mins,20 Mar 2025,3,63,0,18,0,2,0,0,3,83,86,0.03
Causeway Point,Ne-Zha-2-PG13,2025-03-25T14:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154996,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,6,120,4,50,0,2,0,0,10,172,182,0.05
Century Square,Ne-Zha-2-PG13,2025-03-25T14:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13753,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,3,97,0,4,0,2,0,4,3,107,110,0.03
Clementi 321,Ne-Zha-2-PG13,2025-03-25T14:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6584,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,55,67,0,0,1,1,0,0,56,68,124,0.45
JEM,Ne-Zha-2-PG13,2025-03-25T14:15:00,True,https://www.cathaycineplexes.com.sg/ticketing/1110/202531,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,2,0,18,0,0,0,0,0,20,20,0.0
JEM,Dog-Man-PG,2025-03-25T14:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202617,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,0,126,0,32,0,0,0,0,0,158,158,0.0
Downtown East,Mickey-17-M18,2025-03-25T14:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118523,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,0,122,2,40,0,2,0,0,2,164,166,0.01
