Location,Movie Name,Timing,Is Premium,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied,Total Seats,Occupancy Rate
Century Square,In-the-Lost-Lands-NC16,2025-03-10T16:40:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1113/13233,"Action, Fantasy",English,"NC16, Violence",101 mins,6-Mar-25,7,93,2,8,0,2,0,4,9,107,116,0.08
Causeway Point,Dragon-Tamil-PG13,2025-03-10T16:40:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1102/154355,Comedy,Tamil,"PG13, Some Coarse Language",154 mins,21-Feb-25,4,122,8,46,0,2,0,0,12,170,182,0.07
Century Square,Ne-Zha-2-PG13,2025-03-10T17:00:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1113/13224,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,20,78,0,4,0,2,0,4,20,88,108,0.19
JEM,Ne-Zha-2-PG13,2025-03-10T17:00:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1110/201820,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,38,180,8,56,0,1,0,0,46,237,283,0.16
Causeway Point,Nosferatu-M18,2025-03-10T17:00:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1102/154370,"Horror, Mystery",English,"M18, Nudity and Sexual Scene",132 mins,27-Feb-25,3,129,0,34,0,0,0,0,3,163,166,0.02
Clementi 321,Nosferatu-M18,2025-03-10T17:00:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1114/6008,"Horror, Mystery",English,"M18, Nudity and Sexual Scene",132 mins,27-Feb-25,0,48,0,12,0,2,0,0,0,62,62,0
Downtown East,Nosferatu-M18,2025-03-10T17:00:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1106/118063,"Horror, Mystery",English,"M18, Nudity and Sexual Scene",132 mins,27-Feb-25,0,122,2,40,0,2,0,0,2,164,166,0.01
Downtown East,Ne-Zha-2-PG13,2025-03-10T17:15:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1106/118073,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,7,129,10,32,0,2,0,0,17,163,180,0.09
JEM,Ne-Zha-2-PG13,2025-03-10T17:15:00,TRUE,https://www.cathaycineplexes.com.sg/ticketing/1110/201663,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,1,1,4,18,0,0,0,0,5,19,24,0.21
Clementi 321,Ne-Zha-2-PG13,2025-03-10T17:20:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1114/6019,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,6,68,5,15,0,2,0,0,11,85,96,0.11
Causeway Point,Ne-Zha-2-PG13,2025-03-10T17:30:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1102/154360,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,38,88,30,24,0,2,0,0,68,114,182,0.37
JEM,Ne-Zha-2-PG13,2025-03-10T17:30:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1110/201694,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,15,159,4,32,0,1,0,0,19,192,211,0.09
Downtown East,Mickey-17-M18,2025-03-10T17:30:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1106/118058,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,6-Mar-25,0,68,0,40,0,1,0,0,0,109,109,0
Clementi 321,Creation-of-the-Gods-II-Demon-Force-PG13,2025-03-10T17:50:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1114/6012,"Fantasy, Action, War",Mandarin,"PG13, Some Violence",145 mins,29-Jan-25,4,58,6,14,0,2,0,0,10,74,84,0.12
