Location,Movie Name,Timing,Is Premium,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied,Total Seats,Occupancy Rate
Causeway Point,Ne-Zha-2-PG13,2025-03-23T12:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154947,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,21,123,4,40,0,0,0,0,25,163,188,0.13
Century Square,Ne-Zha-2-PG13,2025-03-23T12:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13684,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,19,79,0,4,0,2,0,4,19,89,108,0.18
Clementi 321,Presence-M18,2025-03-23T12:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6943,"Horror, Thriller",English,"M18, Sexual Scene and Coarse Language",85 mins,20 Mar 2025,0,48,4,8,0,2,0,0,4,58,62,0.06
Clementi 321,Ne-Zha-2-PG13,2025-03-23T12:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6520,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,2,72,0,20,0,2,0,0,2,94,96,0.02
Downtown East,Ne-Zha-2-PG13,2025-03-23T12:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118576,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,2,66,2,38,0,1,0,0,4,105,109,0.04
Century Square,Novocaine-NC16,2025-03-23T12:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13687,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,0,100,4,0,0,2,0,4,4,106,110,0.04
Causeway Point,Dog-Man-PG,2025-03-23T12:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/155398,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,20,106,6,48,0,2,0,0,26,156,182,0.14
Clementi 321,Dog-Man-PG,2025-03-23T12:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6513,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,15,33,7,5,0,2,0,0,22,40,62,0.35
Causeway Point,Creation-of-the-Gods-II-Demon-Force-PG13,2025-03-23T12:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154945,"Fantasy, Action, War",Mandarin,"PG13, Some Violence",145 mins,29 Jan 2025,17,113,16,12,0,0,0,0,33,125,158,0.21
Century Square,Ne-Zha-2-PG13,2025-03-23T13:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13676,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,19,81,4,6,0,2,0,4,23,93,116,0.2
Clementi 321,Ne-Zha-2-PG13,2025-03-23T13:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6510,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,3,59,8,12,0,2,0,0,11,73,84,0.13
Downtown East,Ne-Zha-2-PG13,2025-03-23T13:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118492,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,3,121,8,36,0,2,0,0,11,159,170,0.06
JEM,Ne-Zha-2-PG13,2025-03-23T13:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202577,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,34,140,26,10,0,1,0,0,60,151,211,0.28
