Location,Movie Name,Timing,Is Premium,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied,Total Seats,Occupancy Rate
JEM,Ne-Zha-2-PG13,2025-03-13T11:00:00,True,https://www.cathaycineplexes.com.sg/ticketing/1110/202065,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,1,1,2,20,0,0,0,0,3,21,24,0.12
JEM,Ne-Zha-2-PG13,2025-03-13T11:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202176,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,15,203,0,64,0,1,0,0,15,268,283,0.05
JEM,Dog-Man-PG,2025-03-13T11:10:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202147,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,2,172,0,36,0,1,0,0,2,209,211,0.01
Causeway Point,Ne-Zha-2-PG13,2025-03-13T11:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154507,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,19,125,8,36,0,0,0,0,27,161,188,0.14
JEM,Ne-Zha-2-PG13,2025-03-13T11:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202154,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,7,167,2,34,0,1,0,0,9,202,211,0.04
JEM,Ne-Zha-2-PG13,2025-03-13T11:45:00,True,https://www.cathaycineplexes.com.sg/ticketing/1110/202069,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,2,0,22,0,0,0,0,0,24,24,0.0
Causeway Point,Dog-Man-PG,2025-03-13T11:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154500,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,2,127,0,30,0,0,0,0,2,157,159,0.01
Century Square,Ne-Zha-2-PG13,2025-03-13T12:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13318,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,1,99,0,10,0,2,0,4,1,115,116,0.01
Causeway Point,Mickey-17-M18,2025-03-13T12:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154504,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,4,128,0,34,0,0,0,0,4,162,166,0.02
JEM,Mickey-17-M18,2025-03-13T12:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202278,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,9,75,2,22,0,0,0,0,11,97,108,0.1
JEM,Ne-Zha-2-PG13,2025-03-13T12:10:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202172,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,8,166,0,36,0,1,0,0,8,203,211,0.04
Causeway Point,Detective-Chinatown-1900-NC16,2025-03-13T12:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154526,Comedy,Mandarin,"NC16, Some Violence and Coarse Language",137 mins,29 Jan 2025,1,125,4,50,0,2,0,0,5,177,182,0.03
