Location,Movie Name,Timing,Is Premium,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied,Total Seats,Occupancy Rate
Causeway Point,Ne-Zha-2-PG13,2025-03-12T09:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154418,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,7,195,0,42,0,2,0,0,7,239,246,0.03
Causeway Point,Papa-M18,2025-03-12T09:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154437,Drama,Mandarin,"M18, Sexual Scene and Some Coarse Language",130 mins,01 Feb 2025,1,131,0,34,0,0,0,0,1,165,166,0.01
Causeway Point,Ne-Zha-2-PG13,2025-03-12T09:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154443,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,1,143,0,44,0,0,0,0,1,187,188,0.01
Causeway Point,Close-Ur-Kopitiam-PG13,2025-03-12T09:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154448,"Drama, Comedy",Mandarin,"PG13, Some Sexual References",106 mins,27 Feb 2025,0,129,0,30,0,0,0,0,0,159,159,0.0
Causeway Point,Ne-Zha-2-PG13,2025-03-12T10:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154432,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,144,0,44,0,2,0,0,0,190,190,0.0
JEM,Ne-Zha-2-PG13,2025-03-12T10:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202055,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,5,121,2,30,0,0,0,0,7,151,158,0.04
JEM,Mickey-17-M18,2025-03-12T10:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202050,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,0,84,2,22,0,0,0,0,2,106,108,0.02
JEM,Close-Ur-Kopitiam-PG13,2025-03-12T10:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202060,"Drama, Comedy",Mandarin,"PG13, Some Sexual References",106 mins,27 Feb 2025,0,174,2,34,0,1,0,0,2,209,211,0.01
Century Square,Ne-Zha-2-PG13,2025-03-12T10:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13280,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,11,87,0,4,0,2,0,4,11,97,108,0.1
Downtown East,Ne-Zha-2-PG13,2025-03-12T10:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118181,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,122,2,40,0,2,0,0,2,164,166,0.01
