Location,Movie Name,Timing,Is Premium,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied,Total Seats,Occupancy Rate
JEM,Ne-Zha-2-PG13,2025-03-14T10:40:00,True,https://www.cathaycineplexes.com.sg/ticketing/1110/202076,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,2,0,2,20,0,0,0,0,4,20,24,0.17
JEM,A-Looney-Tunes-Movie-PG,2025-03-14T10:50:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202363,Animation,English with no subtitle,PG,91 mins,13 Mar 2025,0,83,0,24,0,0,0,0,0,107,107,0.0
JEM,Close-Ur-Kopitiam-PG13,2025-03-14T10:50:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202203,"Drama, Comedy",Mandarin,"PG13, Some Sexual References",106 mins,27 Feb 2025,6,120,8,24,0,0,0,0,14,144,158,0.09
JEM,Ne-Zha-2-PG13,2025-03-14T11:00:00,True,https://www.cathaycineplexes.com.sg/ticketing/1110/202073,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,2,2,20,0,0,0,0,2,22,24,0.08
JEM,Ne-Zha-2-PG13,2025-03-14T11:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202180,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,49,169,4,60,0,1,0,0,53,230,283,0.19
JEM,Dog-Man-PG,2025-03-14T11:10:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202148,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,3,171,4,32,0,1,0,0,7,204,211,0.03
Causeway Point,Ne-Zha-2-PG13,2025-03-14T11:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154541,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,14,130,10,34,0,0,0,0,24,164,188,0.13
JEM,Ne-Zha-2-PG13,2025-03-14T11:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202158,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,8,166,4,32,0,1,0,0,12,199,211,0.06
JEM,Novocaine-NC16,2025-03-14T11:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202243,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,5,121,0,32,0,0,0,0,5,153,158,0.03
Causeway Point,Dog-Man-PG,2025-03-14T11:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154545,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,0,129,0,30,0,0,0,0,0,159,159,0.0
Causeway Point,Legends-of-the-Condor-Heroes-The-Gallants-PG13,2025-03-14T11:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154727,"Action, Fantasy, Drama",Mandarin,"PG13, Some Violence",146 mins,20 Feb 2025,4,122,2,52,0,2,0,0,6,176,182,0.03
Century Square,Ne-Zha-2-PG13,2025-03-14T12:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13410,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,2,98,2,8,0,2,0,4,4,112,116,0.03
Causeway Point,Detective-Chinatown-1900-NC16,2025-03-14T12:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154530,Comedy,Mandarin,"NC16, Some Violence and Coarse Language",137 mins,29 Jan 2025,2,124,2,52,0,2,0,0,4,178,182,0.02
JEM,Ne-Zha-2-PG13,2025-03-14T12:10:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202185,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,22,152,4,32,0,1,0,0,26,185,211,0.12
Century Square,A-Looney-Tunes-Movie-PG,2025-03-14T12:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13520,Animation,English with no subtitle,PG,91 mins,13 Mar 2025,0,98,0,4,0,2,0,4,0,108,108,0.0
Causeway Point,Mickey-17-M18,2025-03-14T12:20:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154537,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,3,129,0,34,0,0,0,0,3,163,166,0.02
Clementi 321,Ne-Zha-2-PG13,2025-03-14T12:30:00,True,https://www.cathaycineplexes.com.sg/ticketing/1114/6238,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,6,18,0,0,0,0,0,0,6,18,24,0.25
Clementi 321,Ne-Zha-2-PG13,2025-03-14T12:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6283,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,10,38,0,12,0,2,0,0,10,52,62,0.16
Downtown East,Ne-Zha-2-PG13,2025-03-14T12:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118353,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,10,166,2,48,0,2,0,0,12,216,228,0.05
Clementi 321,Dog-Man-PG,2025-03-14T12:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6250,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,6,56,2,18,0,2,0,0,8,76,84,0.1
JEM,Detective-Chinatown-1900-NC16,2025-03-14T12:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202304,Comedy,Mandarin,"NC16, Some Violence and Coarse Language",137 mins,29 Jan 2025,0,126,8,24,0,0,0,0,8,150,158,0.05
Causeway Point,Ne-Zha-2-PG13,2025-03-14T12:40:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154551,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,7,137,6,38,0,2,0,0,13,177,190,0.07
Century Square,Ne-Zha-2-PG13,2025-03-14T12:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13418,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,12,88,0,10,0,2,0,4,12,104,116,0.1
Clementi 321,A-Looney-Tunes-Movie-PG,2025-03-14T12:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6282,Animation,English with no subtitle,PG,91 mins,13 Mar 2025,2,60,0,20,0,2,0,0,2,82,84,0.02
Downtown East,In-the-Lost-Lands-NC16,2025-03-14T12:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118277,"Action, Fantasy",English,"NC16, Violence",101 mins,06 Mar 2025,0,68,0,40,0,1,0,0,0,109,109,0.0
Clementi 321,Mickey-17-M18,2025-03-14T13:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6239,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,2,46,0,12,0,2,0,0,2,60,62,0.03
Downtown East,Mickey-17-M18,2025-03-14T13:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118275,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,0,124,2,42,0,2,0,0,2,168,170,0.01
JEM,Mickey-17-M18,2025-03-14T13:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202281,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,2,82,4,20,0,0,0,0,6,102,108,0.06
Century Square,Ne-Zha-2-PG13,2025-03-14T13:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13521,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,11,87,0,4,0,2,0,4,11,97,108,0.1
