Location,Movie Name,Timing,Is Premium,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied,Total Seats,Occupancy Rate
Causeway Point,You-Are-The-Apple-Of-My-Eye-PG13,2025-03-22T10:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154900,"Drama, Romance",Korean,"PG13, Some Sexual References and Coarse Language",102 mins,20 Mar 2025,2,124,0,54,0,2,0,0,2,180,182,0.01
Causeway Point,Ne-Zha-2-PG13,2025-03-22T10:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154924,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,4,125,14,16,0,0,0,0,18,141,159,0.11
JEM,Ne-Zha-2-PG13,2025-03-22T10:30:00,True,https://www.cathaycineplexes.com.sg/ticketing/1110/202492,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,2,0,22,0,0,0,0,0,24,24,0.0
JEM,Ne-Zha-2-PG13,2025-03-22T10:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202716,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,25,193,6,58,0,1,0,0,31,252,283,0.11
JEM,Dog-Man-PG,2025-03-22T10:50:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202590,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,5,169,2,34,0,1,0,0,7,204,211,0.03
Causeway Point,Novocaine-NC16,2025-03-22T11:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154908,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,0,126,0,54,0,2,0,0,0,182,182,0.0
JEM,Detective-Chinatown-1900-NC16,2025-03-22T11:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202708,Comedy,Mandarin,"NC16, Some Violence and Coarse Language",137 mins,29 Jan 2025,4,122,2,30,0,0,0,0,6,152,158,0.04
JEM,Ne-Zha-2-PG13,2025-03-22T11:15:00,True,https://www.cathaycineplexes.com.sg/ticketing/1110/202523,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,2,6,16,0,0,0,0,6,18,24,0.25
Causeway Point,Ne-Zha-2-PG13,2025-03-22T11:20:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154911,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,4,140,12,32,0,2,0,0,16,174,190,0.08
JEM,Ne-Zha-2-PG13,2025-03-22T11:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202712,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,20,154,8,28,0,1,0,0,28,183,211,0.13
