Location,Movie Name,Timing,Is Premium,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied,Total Seats,Occupancy Rate
Century Square,Ne-Zha-2-PG13,2025-03-21T14:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13640,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,13,87,4,6,0,2,0,4,17,99,116,0.15
Clementi 321,Ne-Zha-2-PG13,2025-03-21T14:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6459,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,31,91,0,0,0,2,0,0,31,93,124,0.25
JEM,Ne-Zha-2-PG13,2025-03-21T14:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202696,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,75,143,18,46,0,1,0,0,93,190,283,0.33
JEM,Ne-Zha-2-PG13,2025-03-21T14:15:00,True,https://www.cathaycineplexes.com.sg/ticketing/1110/202519,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,2,0,8,14,0,0,0,0,10,14,24,0.42
JEM,Dog-Man-PG,2025-03-21T14:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202598,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,21,105,18,14,0,0,0,0,39,119,158,0.25
Downtown East,Ne-Zha-2-PG13,2025-03-21T14:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118436,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,16,120,4,38,0,2,0,0,20,160,180,0.11
JEM,Mickey-17-M18,2025-03-21T14:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202685,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,5,79,4,20,0,0,0,0,9,99,108,0.08
Clementi 321,Ne-Zha-2-PG13,2025-03-21T14:40:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6457,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,16,32,10,2,0,2,0,0,26,36,62,0.42
Causeway Point,Ne-Zha-2-PG13,2025-03-21T14:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154871,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,49,95,14,30,0,2,0,0,63,127,190,0.33
JEM,Ne-Zha-2-PG13,2025-03-21T14:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202692,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,66,108,18,18,0,1,0,0,84,127,211,0.4
Clementi 321,Ne-Zha-2-PG13,2025-03-21T15:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6671,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,14,34,6,6,0,2,0,0,20,42,62,0.32
Clementi 321,Dog-Man-PG,2025-03-21T15:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6445,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,22,26,2,10,0,2,0,0,24,38,62,0.39
Century Square,Detective-Chinatown-1900-NC16,2025-03-21T15:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13651,Comedy,Mandarin,"NC16, Some Violence and Coarse Language",137 mins,29 Jan 2025,11,87,2,2,0,2,0,4,13,95,108,0.12
Causeway Point,Dog-Man-PG,2025-03-21T15:10:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/155389,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,33,93,8,46,0,2,0,0,41,141,182,0.23
Century Square,Ne-Zha-2-PG13,2025-03-21T15:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13644,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,30,70,2,8,0,2,0,4,32,84,116,0.28
Century Square,Presence-M18,2025-03-21T15:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13631,"Horror, Thriller",English,"M18, Sexual Scene and Coarse Language",85 mins,20 Mar 2025,0,100,4,0,0,2,0,4,4,106,110,0.04
Downtown East,Novocaine-NC16,2025-03-21T15:20:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118429,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,1,67,2,38,0,1,0,0,3,106,109,0.03
Clementi 321,Mickey-17-M18,2025-03-21T15:25:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6635,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,5,43,0,12,0,2,0,0,5,57,62,0.08
Causeway Point,Ne-Zha-2-PG13,2025-03-21T15:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154878,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,31,113,16,28,0,0,0,0,47,141,188,0.25
Clementi 321,Ne-Zha-2-PG13,2025-03-21T15:30:00,True,https://www.cathaycineplexes.com.sg/ticketing/1114/6428,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,9,15,0,0,0,0,0,0,9,15,24,0.38
JEM,Ne-Zha-2-PG13,2025-03-21T15:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202554,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,50,124,14,22,0,1,0,0,64,147,211,0.3
Clementi 321,Ne-Zha-2-PG13,2025-03-21T15:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6454,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,14,60,8,12,0,2,0,0,22,74,96,0.23
Downtown East,Legends-of-the-Condor-Heroes-The-Gallants-PG13,2025-03-21T15:45:00,True,https://www.cathaycineplexes.com.sg/ticketing/1106/118557,"Action, Fantasy, Drama",Mandarin,"PG13, Some Violence",146 mins,20 Feb 2025,0,0,0,0,0,0,0,0,0,0,0,1
JEM,Dog-Man-PG,2025-03-21T15:50:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202792,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,36,90,13,19,0,0,0,0,49,109,158,0.31
Century Square,Ne-Zha-2-PG13,2025-03-21T16:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13628,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,7,91,0,4,0,2,0,4,7,101,108,0.06
Downtown East,Ne-Zha-2-PG13,2025-03-21T16:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118426,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,9,167,10,40,0,2,0,0,19,209,228,0.08
