Location,Movie Name,Timing,Is Premium,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied,Total Seats,Occupancy Rate
JEM,Ne-Zha-2-PG13,2025-03-15T10:00:00,True,https://www.cathaycineplexes.com.sg/ticketing/1110/202086,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,1,1,0,22,0,0,0,0,1,23,24,0.04
JEM,Dog-Man-PG,2025-03-15T10:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202273,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,11,115,0,32,0,0,0,0,11,147,158,0.07
JEM,Detective-Chinatown-1900-NC16,2025-03-15T10:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202152,Comedy,Mandarin,"NC16, Some Violence and Coarse Language",137 mins,29 Jan 2025,0,174,0,36,0,1,0,0,0,211,211,0.0
JEM,Creation-of-the-Gods-II-Demon-Force-PG13,2025-03-15T10:10:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202199,"Fantasy, Action, War",Mandarin,"PG13, Some Violence",145 mins,29 Jan 2025,6,120,0,32,0,0,0,0,6,152,158,0.04
JEM,Mickey-17-M18,2025-03-15T10:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202285,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,2,82,0,24,0,0,0,0,2,106,108,0.02
JEM,Ne-Zha-2-PG13,2025-03-15T10:45:00,True,https://www.cathaycineplexes.com.sg/ticketing/1110/202081,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,2,6,16,0,0,0,0,6,18,24,0.25
JEM,Ne-Zha-2-PG13,2025-03-15T11:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202189,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,63,155,18,46,0,1,0,0,81,202,283,0.29
JEM,Novocaine-NC16,2025-03-15T11:10:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202249,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,0,126,4,28,0,0,0,0,4,154,158,0.03
Causeway Point,Ne-Zha-2-PG13,2025-03-15T11:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154749,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,35,109,22,22,0,0,0,0,57,131,188,0.3
Century Square,Ne-Zha-2-PG13,2025-03-15T11:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13435,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,20,80,4,6,0,2,0,4,24,92,116,0.21
Clementi 321,Ne-Zha-2-PG13,2025-03-15T11:30:00,True,https://www.cathaycineplexes.com.sg/ticketing/1114/6286,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,2,22,0,0,0,0,0,0,2,22,24,0.08
Clementi 321,Ne-Zha-2-PG13,2025-03-15T11:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6370,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,13,49,2,18,0,2,0,0,15,69,84,0.18
JEM,Ne-Zha-2-PG13,2025-03-15T11:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202162,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,24,150,8,28,0,1,0,0,32,179,211,0.15
Causeway Point,Dog-Man-PG,2025-03-15T11:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154753,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,7,122,2,28,0,0,0,0,9,150,159,0.06
Downtown East,Ne-Zha-2-PG13,2025-03-15T11:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118313,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,10,126,0,42,0,2,0,0,10,170,180,0.06
Clementi 321,Dog-Man-PG,2025-03-15T11:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6303,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,3,71,1,19,0,2,0,0,4,92,96,0.04
Century Square,A-Looney-Tunes-Movie-PG,2025-03-15T11:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13444,Animation,English with no subtitle,PG,91 mins,13 Mar 2025,2,98,0,4,0,2,0,4,2,108,110,0.02
Causeway Point,Legends-of-the-Condor-Heroes-The-Gallants-PG13,2025-03-15T11:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154740,"Action, Fantasy, Drama",Mandarin,"PG13, Some Violence",146 mins,20 Feb 2025,1,125,4,50,0,2,0,0,5,177,182,0.03
Clementi 321,Papa-M18,2025-03-15T11:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6293,Drama,Mandarin,"M18, Sexual Scene and Some Coarse Language",130 mins,01 Feb 2025,2,46,0,12,0,2,0,0,2,60,62,0.03
Downtown East,Novocaine-NC16,2025-03-15T11:50:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118369,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,0,122,0,42,0,2,0,0,0,166,166,0.0
JEM,Ne-Zha-2-PG13,2025-03-15T12:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202193,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,24,150,4,32,0,1,0,0,28,183,211,0.13
Causeway Point,Detective-Chinatown-1900-NC16,2025-03-15T12:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154732,Comedy,Mandarin,"NC16, Some Violence and Coarse Language",137 mins,29 Jan 2025,1,125,4,50,0,2,0,0,5,177,182,0.03
Century Square,Ne-Zha-2-PG13,2025-03-15T12:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13439,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,12,88,4,6,0,2,0,4,16,100,116,0.14
Clementi 321,Ne-Zha-2-PG13,2025-03-15T12:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6315,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,10,112,0,0,0,2,0,0,10,114,124,0.08
Causeway Point,Mickey-17-M18,2025-03-15T12:20:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154745,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,0,132,0,34,0,0,0,0,0,166,166,0.0
JEM,Legends-of-the-Condor-Heroes-The-Gallants-PG13,2025-03-15T12:20:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202310,"Action, Fantasy, Drama",Mandarin,"PG13, Some Violence",146 mins,20 Feb 2025,4,122,2,30,0,0,0,0,6,152,158,0.04
