Location,Movie Name,Timing,Is Premium,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied,Total Seats,Occupancy Rate
Causeway Point,You-Are-The-Apple-Of-My-Eye-PG13,2025-03-26T11:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/155018,"Drama, Romance",Korean,"PG13, Some Sexual References and Coarse Language",102 mins,20 Mar 2025,0,202,2,40,0,2,0,0,2,244,246,0.01
JEM,Close-Ur-Kopitiam-PG13,2025-03-26T11:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202637,"Drama, Comedy",Mandarin,"PG13, Some Sexual References",106 mins,27 Feb 2025,4,122,2,30,0,0,0,0,6,152,158,0.04
Causeway Point,Dog-Man-PG,2025-03-26T11:20:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/155031,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,0,130,0,28,0,0,0,0,0,158,158,0.0
JEM,Dog-Man-PG,2025-03-26T11:20:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202779,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,0,218,0,64,0,1,0,0,0,283,283,0.0
JEM,Dog-Man-PG,2025-03-26T12:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202621,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,0,126,0,32,0,0,0,0,0,158,158,0.0
Causeway Point,You-Are-The-Apple-Of-My-Eye-PG13,2025-03-26T12:20:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/155019,"Drama, Romance",Korean,"PG13, Some Sexual References and Coarse Language",102 mins,20 Mar 2025,0,126,4,50,0,2,0,0,4,178,182,0.02
Clementi 321,You-Are-The-Apple-Of-My-Eye-PG13,2025-03-26T12:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6992,"Drama, Romance",Korean,"PG13, Some Sexual References and Coarse Language",102 mins,20 Mar 2025,0,48,0,12,0,2,0,0,0,62,62,0.0
Clementi 321,A-Looney-Tunes-Movie-PG,2025-03-26T12:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6971,Animation,English with no subtitle,PG,91 mins,13 Mar 2025,3,45,0,12,0,2,0,0,3,59,62,0.05
JEM,Detective-Chinatown-1900-NC16,2025-03-26T12:40:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202769,Comedy,Mandarin,"NC16, Some Violence and Coarse Language",137 mins,29 Jan 2025,2,124,4,28,0,0,0,0,6,152,158,0.04
Clementi 321,Dog-Man-PG,2025-03-26T13:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6978,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,0,48,0,12,0,2,0,0,0,62,62,0.0
