Location,Movie Name,Timing,Is Premium,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied,Total Seats,Occupancy Rate
Causeway Point,Ne-Zha-2-PG13,2025-03-11T09:00:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1102/154383,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,9,193,2,40,0,2,0,0,11,235,246,0.04
Causeway Point,Papa-M18,2025-03-11T09:15:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1102/154402,Drama,Mandarin,"M18, Sexual Scene and Some Coarse Language",130 mins,1-Feb-25,3,129,0,34,0,0,0,0,3,163,166,0.02
Causeway Point,Ne-Zha-2-PG13,2025-03-11T09:30:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1102/154408,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,0,144,0,44,0,0,0,0,0,188,188,0.00
Causeway Point,Close-Ur-Kopitiam-PG13,2025-03-11T09:45:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1102/154413,"Drama, Comedy",Mandarin,"PG13, Some Sexual References",106 mins,27-Feb-25,3,126,2,28,0,0,0,0,5,154,159,0.03
Causeway Point,Ne-Zha-2-PG13,2025-03-11T10:00:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1102/154397,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,4,140,6,38,0,2,0,0,10,180,190,0.05
JEM,Mickey-17-M18,2025-03-11T10:00:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1110/202017,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,6-Mar-25,2,82,0,24,0,0,0,0,2,106,108,0.02
JEM,Close-Ur-Kopitiam-PG13,2025-03-11T10:00:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1110/202027,"Drama, Comedy",Mandarin,"PG13, Some Sexual References",106 mins,27-Feb-25,9,165,0,36,0,1,0,0,9,202,211,0.04
Century Square,Ne-Zha-2-PG13,2025-03-11T10:30:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1113/13251,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,3,95,0,4,0,2,0,4,3,105,108,0.03
Downtown East,Ne-Zha-2-PG13,2025-03-11T10:30:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1106/118088,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,0,122,0,42,0,2,0,0,0,166,166,0.00
JEM,Ne-Zha-2-PG13,2025-03-11T10:30:00,TRUE,https://www.cathaycineplexes.com.sg/ticketing/1110/201631,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,0,2,4,18,0,0,0,0,4,20,24,0.17
