Location,Movie Name,Timing,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied
Clementi 321,Nosferatu-M18,2025-03-10T13:45:00,https://www.cathaycineplexes.com.sg/ticketing/1114/6007,"Horror, Mystery",English,"M18, Nudity and Sexual Scene",132 mins,27 Feb 2025,3,45,2,10,0,2,0,0,5,57
JEM,Close-Ur-Kopitiam-PG13,2025-03-10T13:50:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201887,"Drama, Comedy",Mandarin,"PG13, Some Sexual References",106 mins,27 Feb 2025,18,108,4,28,0,0,0,0,22,136
Clementi 321,Ne-Zha-2-PG13,2025-03-10T14:00:00,https://www.cathaycineplexes.com.sg/ticketing/1114/6018,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,20,54,9,11,0,2,0,0,29,67
JEM,Ne-Zha-2-PG13,2025-03-10T14:00:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201819,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,34,184,16,48,0,1,0,0,50,233
Causeway Point,In-the-Lost-Lands-NC16,2025-03-10T14:00:00,https://www.cathaycineplexes.com.sg/ticketing/1102/154354,"Action, Fantasy",English,"NC16, Violence",101 mins,06 Mar 2025,3,123,6,48,0,2,0,0,9,173
Downtown East,Ne-Zha-2-PG13,2025-03-10T14:10:00,https://www.cathaycineplexes.com.sg/ticketing/1106/118072,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,8,128,2,40,0,2,0,0,10,170
Causeway Point,Papa-M18,2025-03-10T14:10:00,https://www.cathaycineplexes.com.sg/ticketing/1102/154369,Drama,Mandarin,"M18, Sexual Scene and Some Coarse Language",130 mins,01 Feb 2025,9,123,6,28,0,0,0,0,15,151
Causeway Point,Ne-Zha-2-PG13,2025-03-10T14:15:00,https://www.cathaycineplexes.com.sg/ticketing/1102/154359,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,24,102,14,40,0,2,0,0,38,144
JEM,Ne-Zha-2-PG13,2025-03-10T14:15:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201662,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,2,0,19,3,0,0,0,0,21,3
JEM,Ne-Zha-2-PG13,2025-03-10T14:30:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201693,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,25,149,16,20,0,1,0,0,41,170
Century Square,Ne-Zha-2-PG13,2025-03-10T14:40:00,https://www.cathaycineplexes.com.sg/ticketing/1113/13238,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,7,93,6,4,0,2,0,4,13,103
Clementi 321,Ne-Zha-2-PG13,2025-03-10T14:55:00,https://www.cathaycineplexes.com.sg/ticketing/1114/6022,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,13,35,5,7,0,2,0,0,18,44
Century Square,Ne-Zha-2-PG13,2025-03-10T15:00:00,https://www.cathaycineplexes.com.sg/ticketing/1113/13219,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,12,88,2,2,0,2,0,4,14,96
Clementi 321,Mickey-17-M18,2025-03-10T15:00:00,https://www.cathaycineplexes.com.sg/ticketing/1114/6015,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,2,46,0,12,0,2,0,0,2,60
Downtown East,In-the-Lost-Lands-NC16,2025-03-10T15:00:00,https://www.cathaycineplexes.com.sg/ticketing/1106/118057,"Action, Fantasy",English,"NC16, Violence",101 mins,06 Mar 2025,0,68,0,40,0,1,0,0,0,109
JEM,Ne-Zha-2-PG13,2025-03-10T15:10:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201710,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,20,154,6,30,0,1,0,0,26,185
Causeway Point,Ne-Zha-2-PG13,2025-03-10T15:15:00,https://www.cathaycineplexes.com.sg/ticketing/1102/154350,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,28,174,10,32,0,2,0,0,38,208
JEM,Ne-Zha-2-PG13,2025-03-10T15:30:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201786,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,0,0,0,0,0,0,0,0,0
Causeway Point,Mickey-17-M18,2025-03-10T15:30:00,https://www.cathaycineplexes.com.sg/ticketing/1102/154380,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,5,124,2,28,0,0,0,0,7,152
Clementi 321,In-the-Lost-Lands-NC16,2025-03-10T15:30:00,https://www.cathaycineplexes.com.sg/ticketing/1114/6011,"Action, Fantasy",English,"NC16, Violence",101 mins,06 Mar 2025,5,57,1,19,0,2,0,0,6,78
Clementi 321,Ne-Zha-2-PG13,2025-03-10T15:40:00,https://www.cathaycineplexes.com.sg/ticketing/1114/6026,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,15,107,0,0,0,2,0,0,15,109
Downtown East,Ne-Zha-2-PG13,2025-03-10T15:40:00,https://www.cathaycineplexes.com.sg/ticketing/1106/118053,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,6,90,4,36,0,1,0,0,10,127
Century Square,Ne-Zha-2-PG13,2025-03-10T16:00:00,https://www.cathaycineplexes.com.sg/ticketing/1113/13228,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,8,92,6,4,0,2,0,4,14,102
Clementi 321,Ne-Zha-2-PG13,2025-03-10T16:00:00,https://www.cathaycineplexes.com.sg/ticketing/1114/6356,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,9,39,4,8,0,2,0,0,13,49
JEM,Ne-Zha-2-PG13,2025-03-10T16:00:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201737,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,35,91,8,24,0,0,0,0,43,115
JEM,Legends-of-the-Condor-Heroes-The-Gallants-PG13,2025-03-10T16:00:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201851,"Action, Fantasy, Drama",Mandarin,"PG13, Some Violence",146 mins,20 Feb 2025,5,79,4,20,0,0,0,0,9,99
Downtown East,Dragon-Tamil-PG13,2025-03-10T16:00:00,https://www.cathaycineplexes.com.sg/ticketing/1106/118179,Comedy,Tamil,"PG13, Some Coarse Language",154 mins,21 Feb 2025,4,120,0,44,0,2,0,0,4,166
Clementi 321,Ne-Zha-2-PG13,2025-03-10T16:15:00,https://www.cathaycineplexes.com.sg/ticketing/1114/5998,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,24,0,0,0,0,0,0,0,24
Causeway Point,Ne-Zha-2-PG13,2025-03-10T16:20:00,https://www.cathaycineplexes.com.sg/ticketing/1102/154364,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,23,121,8,36,0,2,0,0,31,159
Downtown East,Ne-Zha-2-PG13,2025-03-10T16:20:00,https://www.cathaycineplexes.com.sg/ticketing/1106/118068,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,8,168,6,44,0,2,0,0,14,214
Century Square,Mickey-17-M18,2025-03-10T16:20:00,https://www.cathaycineplexes.com.sg/ticketing/1113/13214,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,7,91,0,4,0,2,0,4,7,101
Clementi 321,Dragon-Tamil-PG13,2025-03-10T16:20:00,https://www.cathaycineplexes.com.sg/ticketing/1114/6005,Comedy,Tamil,"PG13, Some Coarse Language",154 mins,21 Feb 2025,3,59,2,18,0,2,0,0,5,79
JEM,Creation-of-the-Gods-II-Demon-Force-PG13,2025-03-10T16:20:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201993,"Fantasy, Action, War",Mandarin,"PG13, Some Violence",145 mins,29 Jan 2025,10,116,0,32,0,0,0,0,10,148
JEM,Ne-Zha-2-PG13,2025-03-10T16:30:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201628,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,1,1,4,18,0,0,0,0,5,19
Clementi 321,Ne-Zha-2-PG13,2025-03-10T16:40:00,https://www.cathaycineplexes.com.sg/ticketing/1114/6028,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,3,63,4,14,0,2,0,0,7,79
Century Square,In-the-Lost-Lands-NC16,2025-03-10T16:40:00,https://www.cathaycineplexes.com.sg/ticketing/1113/13233,"Action, Fantasy",English,"NC16, Violence",101 mins,06 Mar 2025,7,93,2,8,0,2,0,4,9,107
Causeway Point,Dragon-Tamil-PG13,2025-03-10T16:40:00,https://www.cathaycineplexes.com.sg/ticketing/1102/154355,Comedy,Tamil,"PG13, Some Coarse Language",154 mins,21 Feb 2025,4,122,8,46,0,2,0,0,12,170
Century Square,Ne-Zha-2-PG13,2025-03-10T17:00:00,https://www.cathaycineplexes.com.sg/ticketing/1113/13224,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,20,78,0,4,0,2,0,4,20,88
JEM,Ne-Zha-2-PG13,2025-03-10T17:00:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201820,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,38,180,8,56,0,1,0,0,46,237
Causeway Point,Nosferatu-M18,2025-03-10T17:00:00,https://www.cathaycineplexes.com.sg/ticketing/1102/154370,"Horror, Mystery",English,"M18, Nudity and Sexual Scene",132 mins,27 Feb 2025,3,129,0,34,0,0,0,0,3,163
Clementi 321,Nosferatu-M18,2025-03-10T17:00:00,https://www.cathaycineplexes.com.sg/ticketing/1114/6008,"Horror, Mystery",English,"M18, Nudity and Sexual Scene",132 mins,27 Feb 2025,0,48,0,12,0,2,0,0,0,62
Downtown East,Nosferatu-M18,2025-03-10T17:00:00,https://www.cathaycineplexes.com.sg/ticketing/1106/118063,"Horror, Mystery",English,"M18, Nudity and Sexual Scene",132 mins,27 Feb 2025,0,122,2,40,0,2,0,0,2,164
Downtown East,Ne-Zha-2-PG13,2025-03-10T17:15:00,https://www.cathaycineplexes.com.sg/ticketing/1106/118073,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,7,129,10,32,0,2,0,0,17,163
JEM,Ne-Zha-2-PG13,2025-03-10T17:15:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201663,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,1,1,4,18,0,0,0,0,5,19
Clementi 321,Ne-Zha-2-PG13,2025-03-10T17:20:00,https://www.cathaycineplexes.com.sg/ticketing/1114/6019,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,6,68,5,15,0,2,0,0,11,85
Causeway Point,Ne-Zha-2-PG13,2025-03-10T17:30:00,https://www.cathaycineplexes.com.sg/ticketing/1102/154360,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,38,88,30,24,0,2,0,0,68,114
JEM,Ne-Zha-2-PG13,2025-03-10T17:30:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201694,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,15,159,4,32,0,1,0,0,19,192
Downtown East,Mickey-17-M18,2025-03-10T17:30:00,https://www.cathaycineplexes.com.sg/ticketing/1106/118058,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,0,68,0,40,0,1,0,0,0,109
Clementi 321,Creation-of-the-Gods-II-Demon-Force-PG13,2025-03-10T17:50:00,https://www.cathaycineplexes.com.sg/ticketing/1114/6012,"Fantasy, Action, War",Mandarin,"PG13, Some Violence",145 mins,29 Jan 2025,4,58,6,14,0,2,0,0,10,74
Clementi 321,Ne-Zha-2-PG13,2025-03-10T18:00:00,https://www.cathaycineplexes.com.sg/ticketing/1114/6023,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,24,24,6,6,0,2,0,0,30,32
Clementi 321,Mobile-Suit-Gundam-GQuuuuuuX--Beginning-PG13,2025-03-10T18:00:00,https://www.cathaycineplexes.com.sg/ticketing/1114/6016,"Anime, Action, Sci-Fi",Japanese,"PG13, Brief Nudity and Battle Scenes",82 mins,27 Feb 2025,0,48,0,12,0,2,0,0,0,62
Century Square,Papa-M18,2025-03-10T18:00:00,https://www.cathaycineplexes.com.sg/ticketing/1113/13239,Drama,Mandarin,"M18, Sexual Scene and Some Coarse Language",130 mins,01 Feb 2025,6,94,0,10,0,2,0,4,6,110
Century Square,Ne-Zha-2-PG13,2025-03-10T18:15:00,https://www.cathaycineplexes.com.sg/ticketing/1113/13220,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,5,95,2,2,0,2,0,4,7,103
Causeway Point,Ne-Zha-2-PG13,2025-03-10T18:20:00,https://www.cathaycineplexes.com.sg/ticketing/1102/154351,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,30,172,8,34,0,2,0,0,38,208
JEM,Ne-Zha-2-PG13,2025-03-10T18:30:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201787,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,39,135,16,20,0,1,0,0,55,156
Causeway Point,Mickey-17-M18,2025-03-10T18:30:00,https://www.cathaycineplexes.com.sg/ticketing/1102/154381,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,4,125,0,30,0,0,0,0,4,155
JEM,In-the-Lost-Lands-NC16,2025-03-10T18:30:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201873,"Action, Fantasy",English,"NC16, Violence",101 mins,06 Mar 2025,1,173,2,34,0,1,0,0,3,208
Causeway Point,Ne-Zha-2-PG13,2025-03-10T18:50:00,https://www.cathaycineplexes.com.sg/ticketing/1102/154376,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,23,121,20,24,0,0,0,0,43,145
JEM,Ex-Ex-Lovers-PG13,2025-03-10T18:50:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201880,"Romance, Comedy",Tagalog,"PG13, Some Coarse Language",107 mins,06 Mar 2025,8,118,2,30,0,0,0,0,10,148
Clementi 321,Ne-Zha-2-PG13,2025-03-10T19:00:00,https://www.cathaycineplexes.com.sg/ticketing/1114/6003,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,20,28,12,0,0,2,0,0,32,30
Downtown East,Ne-Zha-2-PG13,2025-03-10T19:00:00,https://www.cathaycineplexes.com.sg/ticketing/1106/118054,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,3,93,6,34,0,1,0,0,9,128
JEM,Ne-Zha-2-PG13,2025-03-10T19:00:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201738,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,23,103,12,20,0,0,0,0,35,123
Century Square,Mobile-Suit-Gundam-GQuuuuuuX--Beginning-PG13,2025-03-10T19:00:00,https://www.cathaycineplexes.com.sg/ticketing/1113/13230,"Anime, Action, Sci-Fi",Japanese,"PG13, Brief Nudity and Battle Scenes",82 mins,27 Feb 2025,6,94,0,10,0,2,0,4,6,110
JEM,Mickey-17-M18,2025-03-10T19:15:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201995,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,8,76,2,22,0,0,0,0,10,98
Century Square,Ex-Ex-Lovers-PG13,2025-03-10T19:15:00,https://www.cathaycineplexes.com.sg/ticketing/1113/13215,"Romance, Comedy",Tagalog,"PG13, Some Coarse Language",107 mins,06 Mar 2025,3,95,0,4,0,2,0,4,3,105
Causeway Point,Ne-Zha-2-PG13,2025-03-10T19:25:00,https://www.cathaycineplexes.com.sg/ticketing/1102/154365,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,36,108,26,18,0,2,0,0,62,128
Century Square,Ne-Zha-2-PG13,2025-03-10T19:30:00,https://www.cathaycineplexes.com.sg/ticketing/1113/13234,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,22,78,6,4,0,2,0,4,28,88
Clementi 321,Ne-Zha-2-PG13,2025-03-10T19:30:00,https://www.cathaycineplexes.com.sg/ticketing/1114/5999,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,11,13,0,0,0,0,0,0,11,13
Downtown East,Ne-Zha-2-PG13,2025-03-10T19:30:00,https://www.cathaycineplexes.com.sg/ticketing/1106/118069,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,20,156,0,50,0,2,0,0,20,208
JEM,Ne-Zha-2-PG13,2025-03-10T19:30:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201629,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,2,0,8,14,0,0,0,0,10,14
JEM,Ne-Zha-2-PG13,2025-03-10T19:30:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201928,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,39,87,14,18,0,0,0,0,53,105
Clementi 321,Ne-Zha-2-PG13,2025-03-10T19:45:00,https://www.cathaycineplexes.com.sg/ticketing/1114/6006,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,13,49,12,8,0,2,0,0,25,59
Downtown East,Dragon-Tamil-PG13,2025-03-10T19:45:00,https://www.cathaycineplexes.com.sg/ticketing/1106/118077,Comedy,Tamil,"PG13, Some Coarse Language",154 mins,21 Feb 2025,1,123,0,44,0,2,0,0,1,169
JEM,Ne-Zha-2-PG13,2025-03-10T20:15:00,https://www.cathaycineplexes.com.sg/ticketing/1110/201664,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,0,0,0,0,0,0,0,0,0
Clementi 321,Mickey-17-M18,2025-03-10T20:15:00,https://www.cathaycineplexes.com.sg/ticketing/1114/6017,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,8,40,4,8,0,2,0,0,12,50
