Location,Movie Name,Timing,Is Premium,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied,Total Seats,Occupancy Rate
Causeway Point,Ne-Zha-2-PG13,2025-03-17T10:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154760,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,24,178,10,32,0,2,0,0,34,212,246,0.14
JEM,Ne-Zha-2-PG13,2025-03-17T10:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202351,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,23,151,14,22,0,1,0,0,37,174,211,0.18
JEM,A-Looney-Tunes-Movie-PG,2025-03-17T10:10:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202390,Animation,English with no subtitle,PG,91 mins,13 Mar 2025,2,124,0,32,0,0,0,0,2,156,158,0.01
JEM,Ne-Zha-2-PG13,2025-03-17T10:15:00,True,https://www.cathaycineplexes.com.sg/ticketing/1110/202100,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,2,2,20,0,0,0,0,2,22,24,0.08
Causeway Point,Dog-Man-PG,2025-03-17T10:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154638,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,6,123,2,28,0,0,0,0,8,151,159,0.05
JEM,Dog-Man-PG,2025-03-17T10:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202149,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,20,106,0,32,0,0,0,0,20,138,158,0.13
Causeway Point,Legends-of-the-Condor-Heroes-The-Gallants-PG13,2025-03-17T10:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154761,"Action, Fantasy, Drama",Mandarin,"PG13, Some Violence",146 mins,20 Feb 2025,1,125,0,54,0,2,0,0,1,181,182,0.01
Causeway Point,Ne-Zha-2-PG13,2025-03-17T10:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154719,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,20,124,14,30,0,0,0,0,34,154,188,0.18
JEM,Novocaine-NC16,2025-03-17T10:50:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202393,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,4,170,4,32,0,1,0,0,8,203,211,0.04
Causeway Point,Mickey-17-M18,2025-03-17T11:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154715,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,1,131,2,32,0,0,0,0,3,163,166,0.02
