Location,Movie Name,Timing,Is Premium,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied,Total Seats,Occupancy Rate
Causeway Point,Ne-Zha-2-PG13,2025-03-19T10:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154792,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,30,171,10,32,0,2,0,0,40,205,245,0.16
JEM,Ne-Zha-2-PG13,2025-03-19T10:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202473,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,38,136,8,28,0,1,0,0,46,165,211,0.22
JEM,A-Looney-Tunes-Movie-PG,2025-03-19T10:10:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202468,Animation,English with no subtitle,PG,91 mins,13 Mar 2025,0,126,0,32,0,0,0,0,0,158,158,0.0
JEM,Ne-Zha-2-PG13,2025-03-19T10:15:00,True,https://www.cathaycineplexes.com.sg/ticketing/1110/202439,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,2,2,20,0,0,0,0,2,22,24,0.08
Causeway Point,Dog-Man-PG,2025-03-19T10:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154816,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,7,122,10,20,0,0,0,0,17,142,159,0.11
JEM,Dog-Man-PG,2025-03-19T10:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202459,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,8,118,2,30,0,0,0,0,10,148,158,0.06
Causeway Point,Legends-of-the-Condor-Heroes-The-Gallants-PG13,2025-03-19T10:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154823,"Action, Fantasy, Drama",Mandarin,"PG13, Some Violence",146 mins,20 Feb 2025,1,125,0,54,0,2,0,0,1,181,182,0.01
Causeway Point,Ne-Zha-2-PG13,2025-03-19T10:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154812,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,21,123,10,34,0,0,0,0,31,157,188,0.16
JEM,Novocaine-NC16,2025-03-19T10:50:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202447,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,2,172,0,36,0,1,0,0,2,209,211,0.01
Causeway Point,Mickey-17-M18,2025-03-19T11:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154808,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,0,132,0,34,0,0,0,0,0,166,166,0.0
