Location,Movie Name,Timing,Is Premium,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied,Total Seats,Occupancy Rate
JEM,Ne-Zha-2-PG13,2025-03-20T10:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202679,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,31,187,14,50,0,1,0,0,45,238,283,0.16
JEM,Dog-Man-PG,2025-03-20T10:50:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202588,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,17,157,8,28,0,1,0,0,25,186,211,0.12
Causeway Point,Ne-Zha-2-PG13,2025-03-20T11:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154849,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,10,134,0,44,0,2,0,0,10,180,190,0.05
JEM,Close-Ur-Kopitiam-PG13,2025-03-20T11:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202626,"Drama, Comedy",Mandarin,"PG13, Some Sexual References",106 mins,27 Feb 2025,4,122,2,30,0,0,0,0,6,152,158,0.04
JEM,Ne-Zha-2-PG13,2025-03-20T11:15:00,True,https://www.cathaycineplexes.com.sg/ticketing/1110/202510,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,2,4,18,0,0,0,0,4,20,24,0.17
Causeway Point,Ne-Zha-2-PG13,2025-03-20T11:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154839,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,3,141,0,44,0,0,0,0,3,185,188,0.02
JEM,Ne-Zha-2-PG13,2025-03-20T11:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202675,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,18,156,6,30,0,1,0,0,24,187,211,0.11
Causeway Point,Ne-Zha-2-PG13,2025-03-20T12:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154859,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,15,111,2,52,0,2,0,0,17,165,182,0.09
Century Square,Ne-Zha-2-PG13,2025-03-20T12:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13611,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,7,93,2,8,0,2,0,4,9,107,116,0.08
JEM,Dog-Man-PG,2025-03-20T12:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202592,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,12,114,6,26,0,0,0,0,18,140,158,0.11
JEM,Ne-Zha-2-PG13,2025-03-20T12:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202537,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,20,154,12,24,0,1,0,0,32,179,211,0.15
JEM,Novocaine-NC16,2025-03-20T12:20:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202662,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,4,80,0,24,0,0,0,0,4,104,108,0.04
JEM,Detective-Chinatown-1900-NC16,2025-03-20T12:20:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202671,Comedy,Mandarin,"NC16, Some Violence and Coarse Language",137 mins,29 Jan 2025,5,121,0,32,0,0,0,0,5,153,158,0.03
