Location,Movie Name,Timing,Is Premium,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied,Total Seats,Occupancy Rate
JEM,A-Looney-Tunes-Movie-PG,2025-03-16T10:20:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202302,Animation,English with no subtitle,PG,91 mins,13 Mar 2025,6,120,2,30,0,0,0,0,8,150,158,0.05
JEM,Novocaine-NC16,2025-03-16T10:40:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202251,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,2,124,0,32,0,0,0,0,2,156,158,0.01
JEM,Ne-Zha-2-PG13,2025-03-16T10:45:00,True,https://www.cathaycineplexes.com.sg/ticketing/1110/202091,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,1,1,10,12,0,0,0,0,11,13,24,0.46
JEM,Ne-Zha-2-PG13,2025-03-16T11:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202335,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,43,175,14,50,0,1,0,0,57,226,283,0.2
JEM,Dog-Man-PG,2025-03-16T11:10:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202388,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,12,72,6,18,0,0,0,0,18,90,108,0.17
Causeway Point,Ne-Zha-2-PG13,2025-03-16T11:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154607,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,54,90,20,24,0,0,0,0,74,114,188,0.39
JEM,Ne-Zha-2-PG13,2025-03-16T11:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202166,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,29,145,10,26,0,1,0,0,39,172,211,0.18
Century Square,Ne-Zha-2-PG13,2025-03-16T11:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13537,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,18,82,2,8,0,2,0,4,20,96,116,0.17
Clementi 321,Ne-Zha-2-PG13,2025-03-16T11:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6350,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,24,98,0,0,0,2,0,0,24,100,124,0.19
Downtown East,Ne-Zha-2-PG13,2025-03-16T11:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118324,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,10,166,16,34,0,2,0,0,26,202,228,0.11
Causeway Point,Dog-Man-PG,2025-03-16T11:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154611,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,30,99,8,22,0,0,0,0,38,121,159,0.24
Century Square,Mickey-17-M18,2025-03-16T11:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13529,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,2,98,0,4,0,2,0,4,2,108,110,0.02
Downtown East,Mickey-17-M18,2025-03-16T11:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118330,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,0,124,0,44,0,2,0,0,0,170,170,0.0
JEM,Ne-Zha-2-PG13,2025-03-16T12:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202331,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,18,156,12,24,0,1,0,0,30,181,211,0.14
Causeway Point,Novocaine-NC16,2025-03-16T12:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154599,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,4,140,2,42,0,2,0,0,6,184,190,0.03
Downtown East,Novocaine-NC16,2025-03-16T12:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118377,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,0,122,0,42,0,2,0,0,0,166,166,0.0
Clementi 321,Dog-Man-PG,2025-03-16T12:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6339,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,1,47,4,8,0,2,0,0,5,57,62,0.08
Causeway Point,Mickey-17-M18,2025-03-16T12:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154603,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,0,132,4,30,0,0,0,0,4,162,166,0.02
Century Square,Novocaine-NC16,2025-03-16T12:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13543,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,0,100,2,8,0,2,0,4,2,114,116,0.02
Clementi 321,Novocaine-NC16,2025-03-16T12:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6346,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,0,48,2,10,0,2,0,0,2,60,62,0.03
Clementi 321,A-Looney-Tunes-Movie-PG,2025-03-16T12:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6333,Animation,English with no subtitle,PG,91 mins,13 Mar 2025,0,48,0,12,0,2,0,0,0,62,62,0.0
Causeway Point,Detective-Chinatown-1900-NC16,2025-03-16T12:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154591,Comedy,Mandarin,"NC16, Some Violence and Coarse Language",137 mins,29 Jan 2025,6,120,8,46,0,2,0,0,14,168,182,0.08
Century Square,Ne-Zha-2-PG13,2025-03-16T12:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13533,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,4,94,0,4,0,2,0,4,4,104,108,0.04
Clementi 321,Ne-Zha-2-PG13,2025-03-16T12:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6343,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,9,65,9,11,0,2,0,0,18,78,96,0.19
JEM,Mickey-17-M18,2025-03-16T12:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202290,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,0,126,0,32,0,0,0,0,0,158,158,0.0
Clementi 321,Papa-M18,2025-03-16T12:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6329,Drama,Mandarin,"M18, Sexual Scene and Some Coarse Language",130 mins,01 Feb 2025,3,45,6,6,0,2,0,0,9,53,62,0.15
Downtown East,Creation-of-the-Gods-II-Demon-Force-PG13,2025-03-16T12:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118320,"Fantasy, Action, War",Mandarin,"PG13, Some Violence",145 mins,29 Jan 2025,3,93,2,38,0,1,0,0,5,132,137,0.04
